Pop;Best
[7737.433099142765, 7767.963108411228, 7615.000062535616, 7878.243248734111, 7832.9889814433745, 7660.072890001633, 7780.653734498529, 7826.637404708135, 7851.525474998064, 7803.4585505385785, 7962.808291185242, 7738.951024426171, 7904.85079795199, 7989.354438647711, 7863.0008022493985, 7682.917879771431, 7658.313621941219, 7670.978198130464, 7844.04754972325, 7803.712111684033, 7837.6831517459095, 7992.443353827506, 7860.971479594502, 7959.6457073695565, 7729.161753126073, 7703.615709651465, 7905.364664974046, 7789.338799152991, 7771.324493267942, 7757.730513337218, 7864.336893676134, 7975.094988889861, 7781.334573252565, 7941.594837482102, 7812.061270131734, 7882.913606461225, 7865.988489174713, 7698.243134180366, 7803.358876836904, 7715.8720922774355, 7725.880244865306, 7926.184739013626, 7882.258731898211, 7649.819897159299, 7601.971204033546, 7711.968150439114, 7738.942160985569, 7709.196151115924, 7775.016314594915, 7821.988248137231];7601.971204033546
[7941.594837482102, 7926.184739013626, 7905.364664974046, 7904.85079795199, 7882.913606461225, 7882.258731898211, 7878.243248734111, 7865.988489174713, 7864.336893676134, 7863.0008022493985, 7860.971479594502, 7851.525474998064, 7844.04754972325, 7837.6831517459095, 7832.9889814433745, 7826.637404708135, 7821.988248137231, 7812.061270131734, 7803.712111684033, 7803.4585505385785, 7803.358876836904, 7789.338799152991, 7781.334573252565, 7780.653734498529, 7775.016314594915, 7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7615.000062535616, 7601.971204033546, 7562.6144269914175, 7572.021362344169, 7586.475176246573, 7588.243160161956, 7616.543271540504];7562.6144269914175
[7882.258731898211, 7878.243248734111, 7865.988489174713, 7864.336893676134, 7863.0008022493985, 7860.971479594502, 7851.525474998064, 7844.04754972325, 7837.6831517459095, 7832.9889814433745, 7826.637404708135, 7821.988248137231, 7812.061270131734, 7803.712111684033, 7803.4585505385785, 7803.358876836904, 7789.338799152991, 7781.334573252565, 7780.653734498529, 7775.016314594915, 7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7472.383096050931, 7497.7630626017, 7523.011407150121, 7560.177747315999, 7588.8619928689295];7472.383096050931
[7860.971479594502, 7851.525474998064, 7844.04754972325, 7837.6831517459095, 7832.9889814433745, 7826.637404708135, 7821.988248137231, 7812.061270131734, 7803.712111684033, 7803.4585505385785, 7803.358876836904, 7789.338799152991, 7781.334573252565, 7780.653734498529, 7775.016314594915, 7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7523.011407150121, 7497.7630626017, 7472.383096050931, 7462.099326121987, 7483.465426706835, 7510.009835408664, 7526.672732416571, 7534.572356503292];7462.099326121987
[7826.637404708135, 7821.988248137231, 7812.061270131734, 7803.712111684033, 7803.4585505385785, 7803.358876836904, 7789.338799152991, 7781.334573252565, 7780.653734498529, 7775.016314594915, 7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7483.465426706835, 7472.383096050931, 7462.099326121987, 7438.095259085411, 7467.406616424722, 7474.746112679262, 7475.480146753704, 7486.983854781669];7438.095259085411
[7803.358876836904, 7789.338799152991, 7781.334573252565, 7780.653734498529, 7775.016314594915, 7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7486.983854781669, 7483.465426706835, 7475.480146753704, 7474.746112679262, 7472.383096050931, 7467.406616424722, 7462.099326121987, 7438.095259085411, 7421.642143202289, 7436.417864281984, 7440.739642510261, 7440.895813122508, 7449.572483399235];7421.642143202289
[7771.324493267942, 7767.963108411228, 7757.730513337218, 7738.951024426171, 7738.942160985569, 7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7486.983854781669, 7483.465426706835, 7475.480146753704, 7474.746112679262, 7472.383096050931, 7467.406616424722, 7462.099326121987, 7449.572483399235, 7440.895813122508, 7440.739642510261, 7438.095259085411, 7436.417864281984, 7421.642143202289, 7382.553144355967, 7428.1558375702125, 7429.392127442878, 7443.235266261965, 7447.38902959806];7382.553144355967
[7737.433099142765, 7729.161753126073, 7725.880244865306, 7715.8720922774355, 7711.968150439114, 7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7486.983854781669, 7483.465426706835, 7475.480146753704, 7474.746112679262, 7472.383096050931, 7467.406616424722, 7462.099326121987, 7449.572483399235, 7447.38902959806, 7443.235266261965, 7440.895813122508, 7440.739642510261, 7438.095259085411, 7436.417864281984, 7429.392127442878, 7428.1558375702125, 7421.642143202289, 7382.553144355967, 7330.8901506748325, 7341.709704228543, 7356.084217015887, 7374.841311423086, 7406.967076896355];7330.8901506748325
[7709.196151115924, 7703.615709651465, 7698.243134180366, 7682.917879771431, 7670.978198130464, 7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7486.983854781669, 7483.465426706835, 7475.480146753704, 7474.746112679262, 7472.383096050931, 7467.406616424722, 7462.099326121987, 7449.572483399235, 7447.38902959806, 7443.235266261965, 7440.895813122508, 7440.739642510261, 7438.095259085411, 7436.417864281984, 7429.392127442878, 7428.1558375702125, 7421.642143202289, 7406.967076896355, 7382.553144355967, 7374.841311423086, 7356.084217015887, 7341.709704228543, 7330.8901506748325, 7282.728011717879, 7360.000779796018, 7371.318595906219, 7371.534723074746, 7378.3118297022065];7282.728011717879
[7660.072890001633, 7658.313621941219, 7649.819897159299, 7616.543271540504, 7615.000062535616, 7601.971204033546, 7588.8619928689295, 7588.243160161956, 7586.475176246573, 7572.021362344169, 7562.6144269914175, 7560.177747315999, 7534.572356503292, 7526.672732416571, 7523.011407150121, 7510.009835408664, 7497.7630626017, 7486.983854781669, 7483.465426706835, 7475.480146753704, 7474.746112679262, 7472.383096050931, 7467.406616424722, 7462.099326121987, 7449.572483399235, 7447.38902959806, 7443.235266261965, 7440.895813122508, 7440.739642510261, 7438.095259085411, 7436.417864281984, 7429.392127442878, 7428.1558375702125, 7421.642143202289, 7406.967076896355, 7382.553144355967, 7378.3118297022065, 7374.841311423086, 7371.534723074746, 7371.318595906219, 7360.000779796018, 7356.084217015887, 7341.709704228543, 7330.8901506748325, 7282.728011717879, 7266.054834296296, 7305.775404985483, 7333.29686325425, 7334.756009658491, 7336.378231412635];7266.054834296296
