Pop;Best
[4779.657411619052, 4965.739627826192, 4845.4450444096365, 4940.4604726185735, 4756.332016271895, 4873.826319845919, 4814.000474512552, 5013.068359555229, 4944.875096872778, 4941.88296370084, 4851.632271090483, 4956.1988443239625, 4902.839908769152, 4860.612817398432, 4961.813198277334, 4896.153343054001, 4902.980560653254, 4951.35411025971, 4829.436637082721, 4900.79114506524, 4792.15323630535, 4880.621291503716, 4860.277189048256, 4726.152188912634, 4978.027706464021, 4866.98826258771, 4829.766815897585, 4900.313976471235, 4923.588832919313, 5037.271345497645, 4941.761776070044, 4812.563150332959, 4888.673108016336, 4880.347738772543, 4913.915321168901, 4946.7269775168925, 4919.431518383686, 4974.114709715008, 4906.9836730256275, 4852.138330787542, 4818.283432549059, 4983.840350389495, 4848.219755974359, 4941.704038857659, 4872.472195523799, 4925.53964621579, 4911.598938208924, 4868.5514786286085, 4980.815279115484, 4904.334634136903];4726.152188912634
[4974.114709715008, 4965.739627826192, 4961.813198277334, 4956.1988443239625, 4951.35411025971, 4946.7269775168925, 4944.875096872778, 4941.88296370084, 4941.761776070044, 4941.704038857659, 4940.4604726185735, 4925.53964621579, 4923.588832919313, 4919.431518383686, 4913.915321168901, 4911.598938208924, 4906.9836730256275, 4904.334634136903, 4902.980560653254, 4902.839908769152, 4900.79114506524, 4900.313976471235, 4896.153343054001, 4888.673108016336, 4880.621291503716, 4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4726.152188912634, 4697.992979967452, 4720.457695289479, 4745.03584548802, 4756.332016271895, 4756.332016271895];4697.992979967452
[4946.7269775168925, 4944.875096872778, 4941.88296370084, 4941.761776070044, 4941.704038857659, 4940.4604726185735, 4925.53964621579, 4923.588832919313, 4919.431518383686, 4913.915321168901, 4911.598938208924, 4906.9836730256275, 4904.334634136903, 4902.980560653254, 4902.839908769152, 4900.79114506524, 4900.313976471235, 4896.153343054001, 4888.673108016336, 4880.621291503716, 4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4697.992979967452, 4650.090985601177, 4700.770921653748, 4709.585034628429, 4711.013269858611, 4720.366045894783];4650.090985601177
[4940.4604726185735, 4925.53964621579, 4923.588832919313, 4919.431518383686, 4913.915321168901, 4911.598938208924, 4906.9836730256275, 4904.334634136903, 4902.980560653254, 4902.839908769152, 4900.79114506524, 4900.313976471235, 4896.153343054001, 4888.673108016336, 4880.621291503716, 4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4700.770921653748, 4697.992979967452, 4650.090985601177, 4647.104682791406, 4668.783565380652, 4669.402178760161, 4679.404542077955, 4701.108725413176];4647.104682791406
[4911.598938208924, 4906.9836730256275, 4904.334634136903, 4902.980560653254, 4902.839908769152, 4900.79114506524, 4900.313976471235, 4896.153343054001, 4888.673108016336, 4880.621291503716, 4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4650.090985601177, 4647.104682791406, 4625.571139370641, 4642.755262483687, 4643.136906892802, 4668.783565380652, 4668.783565380652];4625.571139370641
[4900.79114506524, 4900.313976471235, 4896.153343054001, 4888.673108016336, 4880.621291503716, 4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4650.090985601177, 4647.104682791406, 4643.136906892802, 4642.755262483687, 4625.571139370641, 4607.462166952535, 4652.430196396821, 4656.656361998477, 4668.783565380652, 4668.783565380652];4607.462166952535
[4880.347738772543, 4873.826319845919, 4872.472195523799, 4868.5514786286085, 4866.98826258771, 4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4656.656361998477, 4652.430196396821, 4650.090985601177, 4647.104682791406, 4643.136906892802, 4642.755262483687, 4625.571139370641, 4607.462166952535, 4580.852021077916, 4595.269886261299, 4606.585494964561, 4611.7453531910705, 4613.681318046055];4580.852021077916
[4860.612817398432, 4860.277189048256, 4852.138330787542, 4851.632271090483, 4848.219755974359, 4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4656.656361998477, 4652.430196396821, 4650.090985601177, 4647.104682791406, 4643.136906892802, 4642.755262483687, 4625.571139370641, 4613.681318046055, 4611.7453531910705, 4607.462166952535, 4606.585494964561, 4595.269886261299, 4580.852021077916, 4531.705033469017, 4536.173894056226, 4537.944324834086, 4591.413883289884, 4601.789417924281];4531.705033469017
[4845.4450444096365, 4829.766815897585, 4829.436637082721, 4818.283432549059, 4814.000474512552, 4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4656.656361998477, 4652.430196396821, 4650.090985601177, 4647.104682791406, 4643.136906892802, 4642.755262483687, 4625.571139370641, 4613.681318046055, 4611.7453531910705, 4607.462166952535, 4606.585494964561, 4601.789417924281, 4595.269886261299, 4591.413883289884, 4580.852021077916, 4537.944324834086, 4536.173894056226, 4531.705033469017, 4489.537736185088, 4515.143541557689, 4535.559384634752, 4536.062974139102, 4538.055244751211];4489.537736185088
[4812.563150332959, 4792.15323630535, 4779.657411619052, 4756.332016271895, 4756.332016271895, 4756.332016271895, 4745.03584548802, 4726.152188912634, 4720.457695289479, 4720.366045894783, 4711.013269858611, 4709.585034628429, 4701.108725413176, 4700.770921653748, 4697.992979967452, 4679.404542077955, 4669.402178760161, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4668.783565380652, 4656.656361998477, 4652.430196396821, 4650.090985601177, 4647.104682791406, 4643.136906892802, 4642.755262483687, 4625.571139370641, 4613.681318046055, 4611.7453531910705, 4607.462166952535, 4606.585494964561, 4601.789417924281, 4595.269886261299, 4591.413883289884, 4580.852021077916, 4538.055244751211, 4537.944324834086, 4536.173894056226, 4536.062974139102, 4535.559384634752, 4531.705033469017, 4515.143541557689, 4489.537736185088, 4480.431906852297, 4521.273243716408, 4524.759487541496, 4526.373490002556, 4534.923284994992];4480.431906852297
