Pop;Best
[16945.978219650417, 16492.30131850491, 16591.979228929413, 16354.242019697655, 16336.159647417657, 16696.41245839006, 16358.352932804588, 16478.245143274937, 16453.779275283214, 16706.332597940356, 16430.31745270233, 16589.39048819813, 16364.561919395946, 16557.352739238137, 16558.14989787562, 16553.703258075824, 16590.563990981413, 16402.339803257702, 16496.278547158705, 16493.024442261165, 16473.728264456477, 16532.137583397853, 16278.783999904877, 16318.84738597387, 16526.10379859892, 16383.48666531144, 16422.950264803727, 16484.524162335954, 16431.28208313395, 16459.21307285068, 16417.41586269583, 16438.23519227659, 16450.17603080717, 16423.051763277606, 16462.019154814137, 16148.61221665651, 16653.500065987882, 16443.012349401266, 16338.412505835091, 16655.226155480483, 16215.129413798208, 16225.8330435159, 16318.827422882256, 16670.921856578334, 16582.661798763475, 16150.649181557801, 16677.287449955445, 16656.293257690835, 16508.60785069127, 16554.781247124265];16148.61221665651
[16656.293257690835, 16655.226155480483, 16653.500065987882, 16591.979228929413, 16590.563990981413, 16589.39048819813, 16582.661798763475, 16558.14989787562, 16557.352739238137, 16554.781247124265, 16553.703258075824, 16532.137583397853, 16526.10379859892, 16508.60785069127, 16496.278547158705, 16493.024442261165, 16492.30131850491, 16484.524162335954, 16478.245143274937, 16473.728264456477, 16462.019154814137, 16459.21307285068, 16453.779275283214, 16450.17603080717, 16443.012349401266, 16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16225.8330435159, 16215.129413798208, 16150.649181557801, 16148.61221665651, 16169.479871721274, 16182.094057953509, 16183.68453740249, 16220.82015021134, 16231.972579126465];16148.61221665651
[16589.39048819813, 16582.661798763475, 16558.14989787562, 16557.352739238137, 16554.781247124265, 16553.703258075824, 16532.137583397853, 16526.10379859892, 16508.60785069127, 16496.278547158705, 16493.024442261165, 16492.30131850491, 16484.524162335954, 16478.245143274937, 16473.728264456477, 16462.019154814137, 16459.21307285068, 16453.779275283214, 16450.17603080717, 16443.012349401266, 16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16169.479871721274, 16150.649181557801, 16148.61221665651, 16056.35102427829, 16079.808778100434, 16105.407048379531, 16149.189323815182, 16170.716785001856];16056.35102427829
[16553.703258075824, 16532.137583397853, 16526.10379859892, 16508.60785069127, 16496.278547158705, 16493.024442261165, 16492.30131850491, 16484.524162335954, 16478.245143274937, 16473.728264456477, 16462.019154814137, 16459.21307285068, 16453.779275283214, 16450.17603080717, 16443.012349401266, 16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16056.35102427829, 16001.178450560497, 16004.583402977083, 16024.490156746539, 16040.571605710715, 16072.844692118635];16001.178450560497
[16493.024442261165, 16492.30131850491, 16484.524162335954, 16478.245143274937, 16473.728264456477, 16462.019154814137, 16459.21307285068, 16453.779275283214, 16450.17603080717, 16443.012349401266, 16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15856.505601891738, 15931.046169401763, 15972.966949817599, 15976.097716817758, 16035.73750532823];15856.505601891738
[16462.019154814137, 16459.21307285068, 16453.779275283214, 16450.17603080717, 16443.012349401266, 16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16035.73750532823, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15976.097716817758, 15972.966949817599, 15931.046169401763, 15856.505601891738, 15848.594930352992, 15903.349433662628, 15916.90907229939, 15951.18637745204, 15954.016076500673];15848.594930352992
[16438.23519227659, 16431.28208313395, 16430.31745270233, 16423.051763277606, 16422.950264803727, 16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16035.73750532823, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15976.097716817758, 15972.966949817599, 15954.016076500673, 15951.18637745204, 15931.046169401763, 15916.90907229939, 15903.349433662628, 15856.505601891738, 15848.594930352992, 15812.576451853596, 15814.324012040728, 15818.359138621183, 15850.825132245058, 15853.924936892054];15812.576451853596
[16417.41586269583, 16402.339803257702, 16383.48666531144, 16364.561919395946, 16358.352932804588, 16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16035.73750532823, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15976.097716817758, 15972.966949817599, 15954.016076500673, 15951.18637745204, 15931.046169401763, 15916.90907229939, 15903.349433662628, 15856.505601891738, 15853.924936892054, 15850.825132245058, 15848.594930352992, 15818.359138621183, 15814.324012040728, 15812.576451853596, 15706.163809812255, 15744.280369859145, 15751.98752249769, 15818.706906515179, 15824.73981889438];15706.163809812255
[16354.242019697655, 16338.412505835091, 16336.159647417657, 16318.84738597387, 16318.827422882256, 16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16035.73750532823, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15976.097716817758, 15972.966949817599, 15954.016076500673, 15951.18637745204, 15931.046169401763, 15916.90907229939, 15903.349433662628, 15856.505601891738, 15853.924936892054, 15850.825132245058, 15848.594930352992, 15824.73981889438, 15818.706906515179, 15818.359138621183, 15814.324012040728, 15812.576451853596, 15751.98752249769, 15744.280369859145, 15706.163809812255, 15665.39352241388, 15728.34095719732, 15759.258723451872, 15766.877794866998, 15767.381775978298];15665.39352241388
[16278.783999904877, 16231.972579126465, 16225.8330435159, 16220.82015021134, 16215.129413798208, 16183.68453740249, 16182.094057953509, 16170.716785001856, 16169.479871721274, 16150.649181557801, 16149.189323815182, 16148.61221665651, 16105.407048379531, 16079.808778100434, 16072.844692118635, 16056.35102427829, 16040.571605710715, 16035.73750532823, 16024.490156746539, 16004.583402977083, 16001.178450560497, 15976.097716817758, 15972.966949817599, 15954.016076500673, 15951.18637745204, 15931.046169401763, 15916.90907229939, 15903.349433662628, 15856.505601891738, 15853.924936892054, 15850.825132245058, 15848.594930352992, 15824.73981889438, 15818.706906515179, 15818.359138621183, 15814.324012040728, 15812.576451853596, 15767.381775978298, 15766.877794866998, 15759.258723451872, 15751.98752249769, 15744.280369859145, 15728.34095719732, 15706.163809812255, 15665.39352241388, 15656.448281508323, 15690.285409115648, 15692.428519111787, 15701.544633438452, 15704.432954856786];15656.448281508323
