Pop;Best
[14698.960420656707, 14517.965680056577, 14543.653368782781, 14831.402046912064, 14889.662530981033, 14844.36644896424, 14592.713761947749, 14742.008696667011, 14686.337576825938, 14689.18410410239, 15025.267536850519, 14858.507973649632, 14720.318606246903, 14953.540796781823, 14831.166393793736, 14511.480555025042, 14683.72901723353, 14730.068676814548, 14772.472064353604, 14730.912847967387, 14591.68432453783, 14768.247192609528, 14867.013097706445, 15005.026313997234, 14637.282375301143, 14769.602239472413, 14658.268094068135, 14900.346011734198, 14824.468830292306, 14663.31241940122, 14945.271086399585, 15098.166398269106, 14703.985626293663, 14892.282827587705, 14632.532769135452, 14887.705314434153, 14695.149175402737, 14758.213467057987, 14906.321595823025, 14607.16049390082, 14627.046827150838, 14609.52576381611, 14755.8863068609, 14696.604256271632, 14652.214196841174, 14925.532785984871, 14739.429811230812, 15002.721204106656, 14729.119876772713, 14838.281922514274];14511.480555025042
[14945.271086399585, 14925.532785984871, 14906.321595823025, 14900.346011734198, 14892.282827587705, 14889.662530981033, 14887.705314434153, 14867.013097706445, 14858.507973649632, 14844.36644896424, 14838.281922514274, 14831.402046912064, 14831.166393793736, 14824.468830292306, 14772.472064353604, 14769.602239472413, 14768.247192609528, 14758.213467057987, 14755.8863068609, 14742.008696667011, 14739.429811230812, 14730.912847967387, 14730.068676814548, 14729.119876772713, 14720.318606246903, 14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14543.653368782781, 14517.965680056577, 14511.480555025042, 14462.719963232526, 14505.092628975419, 14539.491538604372, 14546.912043585171, 14565.770674144107];14462.719963232526
[14889.662530981033, 14887.705314434153, 14867.013097706445, 14858.507973649632, 14844.36644896424, 14838.281922514274, 14831.402046912064, 14831.166393793736, 14824.468830292306, 14772.472064353604, 14769.602239472413, 14768.247192609528, 14758.213467057987, 14755.8863068609, 14742.008696667011, 14739.429811230812, 14730.912847967387, 14730.068676814548, 14729.119876772713, 14720.318606246903, 14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14462.719963232526, 14457.299521794892, 14471.202862784412, 14501.801222550333, 14529.921672467255, 14531.25007859197];14457.299521794892
[14838.281922514274, 14831.402046912064, 14831.166393793736, 14824.468830292306, 14772.472064353604, 14769.602239472413, 14768.247192609528, 14758.213467057987, 14755.8863068609, 14742.008696667011, 14739.429811230812, 14730.912847967387, 14730.068676814548, 14729.119876772713, 14720.318606246903, 14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14352.297086520068, 14385.412180837104, 14417.128243133257, 14435.262461307788, 14440.97517885011];14352.297086520068
[14769.602239472413, 14768.247192609528, 14758.213467057987, 14755.8863068609, 14742.008696667011, 14739.429811230812, 14730.912847967387, 14730.068676814548, 14729.119876772713, 14720.318606246903, 14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14211.463492241353, 14252.701205472109, 14319.688292571667, 14338.407602266965, 14346.978451047693];14211.463492241353
[14739.429811230812, 14730.912847967387, 14730.068676814548, 14729.119876772713, 14720.318606246903, 14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14346.978451047693, 14338.407602266965, 14319.688292571667, 14252.701205472109, 14211.463492241353, 14222.252459310588, 14271.284084836336, 14315.338887952787, 14319.688292571667, 14319.688292571667];14211.463492241353
[14703.985626293663, 14698.960420656707, 14696.604256271632, 14695.149175402737, 14689.18410410239, 14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14346.978451047693, 14338.407602266965, 14319.688292571667, 14319.688292571667, 14319.688292571667, 14315.338887952787, 14271.284084836336, 14252.701205472109, 14222.252459310588, 14211.463492241353, 14212.570896974288, 14232.937763684266, 14247.567311292489, 14253.978957751959, 14262.38276780841];14211.463492241353
[14686.337576825938, 14683.72901723353, 14663.31241940122, 14658.268094068135, 14652.214196841174, 14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14346.978451047693, 14338.407602266965, 14319.688292571667, 14319.688292571667, 14319.688292571667, 14315.338887952787, 14271.284084836336, 14262.38276780841, 14253.978957751959, 14252.701205472109, 14247.567311292489, 14232.937763684266, 14222.252459310588, 14212.570896974288, 14211.463492241353, 14120.985402509736, 14205.349904521878, 14208.78280753626, 14212.459693548979, 14217.023929467363];14120.985402509736
[14637.282375301143, 14632.532769135452, 14627.046827150838, 14609.52576381611, 14607.16049390082, 14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14346.978451047693, 14338.407602266965, 14319.688292571667, 14319.688292571667, 14319.688292571667, 14315.338887952787, 14271.284084836336, 14262.38276780841, 14253.978957751959, 14252.701205472109, 14247.567311292489, 14232.937763684266, 14222.252459310588, 14217.023929467363, 14212.570896974288, 14212.459693548979, 14211.463492241353, 14208.78280753626, 14205.349904521878, 14120.985402509736, 14111.694116257411, 14135.651735178088, 14143.502682148266, 14173.443352959785, 14206.341089350428];14111.694116257411
[14592.713761947749, 14591.68432453783, 14565.770674144107, 14546.912043585171, 14543.653368782781, 14539.491538604372, 14531.25007859197, 14529.921672467255, 14517.965680056577, 14511.480555025042, 14505.092628975419, 14501.801222550333, 14471.202862784412, 14462.719963232526, 14457.299521794892, 14440.97517885011, 14435.262461307788, 14417.128243133257, 14385.412180837104, 14352.297086520068, 14346.978451047693, 14338.407602266965, 14319.688292571667, 14319.688292571667, 14319.688292571667, 14315.338887952787, 14271.284084836336, 14262.38276780841, 14253.978957751959, 14252.701205472109, 14247.567311292489, 14232.937763684266, 14222.252459310588, 14217.023929467363, 14212.570896974288, 14212.459693548979, 14211.463492241353, 14208.78280753626, 14206.341089350428, 14205.349904521878, 14173.443352959785, 14143.502682148266, 14135.651735178088, 14120.985402509736, 14111.694116257411, 14075.053611378797, 14096.631759319422, 14111.261422972932, 14117.606403972299, 14128.547051496582];14075.053611378797
