Pop;Best
[11449.667725457035, 11657.898062038359, 11434.724161256143, 11293.740880895844, 11591.05295495706, 11648.19501898925, 11455.128429290466, 11418.376898540508, 11320.204106620271, 11648.840901768242, 11644.82299900431, 11496.70191899406, 11655.464527667746, 11435.798163602425, 11561.195845977276, 11319.003617241779, 11645.015628212934, 11510.754555711927, 11517.27798931451, 11443.939347051502, 11568.342730742377, 11363.23302124098, 11311.967039904832, 11580.461477155344, 11615.701793474593, 11622.602317001325, 11311.266577448545, 11673.523706431375, 11455.001365708154, 11345.898425462148, 11400.763395222302, 11489.144995252651, 11583.221264326085, 11560.464630458944, 11427.712485021182, 11644.959682029756, 11533.448392523827, 11245.319832345036, 11723.79123205516, 11535.591030105525, 11447.28379656176, 11633.927243441507, 11476.767503792278, 11350.438476131549, 11583.535472117253, 11493.191187695038, 11452.231819427581, 11446.471138960998, 11581.196485557022, 11594.93715378704];11245.319832345036
[11648.19501898925, 11645.015628212934, 11644.959682029756, 11644.82299900431, 11633.927243441507, 11622.602317001325, 11615.701793474593, 11594.93715378704, 11591.05295495706, 11583.535472117253, 11583.221264326085, 11581.196485557022, 11580.461477155344, 11568.342730742377, 11561.195845977276, 11560.464630458944, 11535.591030105525, 11533.448392523827, 11517.27798931451, 11510.754555711927, 11496.70191899406, 11493.191187695038, 11489.144995252651, 11476.767503792278, 11455.128429290466, 11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11245.319832345036, 11200.574042697812, 11232.475005994018, 11263.048308812124, 11270.103263100373, 11284.620506490357];11200.574042697812
[11622.602317001325, 11615.701793474593, 11594.93715378704, 11591.05295495706, 11583.535472117253, 11583.221264326085, 11581.196485557022, 11580.461477155344, 11568.342730742377, 11561.195845977276, 11560.464630458944, 11535.591030105525, 11533.448392523827, 11517.27798931451, 11510.754555711927, 11496.70191899406, 11493.191187695038, 11489.144995252651, 11476.767503792278, 11455.128429290466, 11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11200.574042697812, 11209.558907916837, 11210.301818992117, 11210.516789708588, 11214.955929028572, 11218.575626040021];11200.574042697812
[11583.221264326085, 11581.196485557022, 11580.461477155344, 11568.342730742377, 11561.195845977276, 11560.464630458944, 11535.591030105525, 11533.448392523827, 11517.27798931451, 11510.754555711927, 11496.70191899406, 11493.191187695038, 11489.144995252651, 11476.767503792278, 11455.128429290466, 11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11214.955929028572, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11200.574042697812, 11130.045509981312, 11165.016347100056, 11203.0761192793, 11214.210662994474, 11217.374655170752];11130.045509981312
[11560.464630458944, 11535.591030105525, 11533.448392523827, 11517.27798931451, 11510.754555711927, 11496.70191899406, 11493.191187695038, 11489.144995252651, 11476.767503792278, 11455.128429290466, 11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11130.045509981312, 11069.58951654514, 11126.266086480722, 11128.338874938421, 11130.045509981312, 11130.045509981312];11069.58951654514
[11496.70191899406, 11493.191187695038, 11489.144995252651, 11476.767503792278, 11455.128429290466, 11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11069.58951654514, 11019.045586450742, 11054.186033955466, 11060.241679201765, 11116.024184825128, 11139.393347324689];11019.045586450742
[11455.001365708154, 11452.231819427581, 11449.667725457035, 11447.28379656176, 11446.471138960998, 11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11054.186033955466, 11019.045586450742, 11035.554860199241, 11037.14551116154, 11046.949551144575, 11047.461799255461, 11056.115891746356];11019.045586450742
[11443.939347051502, 11435.798163602425, 11434.724161256143, 11427.712485021182, 11418.376898540508, 11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11056.115891746356, 11054.186033955466, 11047.461799255461, 11046.949551144575, 11037.14551116154, 11035.554860199241, 11019.045586450742, 10929.89267099529, 11014.544601364989, 11018.259924365642, 11033.263036469423, 11042.004298517808];10929.89267099529
[11400.763395222302, 11363.23302124098, 11350.438476131549, 11345.898425462148, 11320.204106620271, 11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11056.115891746356, 11054.186033955466, 11047.461799255461, 11046.949551144575, 11042.004298517808, 11037.14551116154, 11035.554860199241, 11033.263036469423, 11019.045586450742, 11018.259924365642, 11014.544601364989, 10929.89267099529, 10920.720113071224, 10978.075155450195, 10989.289083730291, 10995.427165305195, 11008.769409703324];10920.720113071224
[11319.003617241779, 11311.967039904832, 11311.266577448545, 11293.740880895844, 11284.620506490357, 11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11056.115891746356, 11054.186033955466, 11047.461799255461, 11046.949551144575, 11042.004298517808, 11037.14551116154, 11035.554860199241, 11033.263036469423, 11019.045586450742, 11018.259924365642, 11014.544601364989, 11008.769409703324, 10995.427165305195, 10989.289083730291, 10978.075155450195, 10929.89267099529, 10920.720113071224, 10863.561534710048, 10909.012287402827, 10944.252412573953, 10966.00888067926, 10992.143417762087];10863.561534710048
[11270.103263100373, 11263.048308812124, 11245.319832345036, 11232.475005994018, 11218.575626040021, 11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11056.115891746356, 11054.186033955466, 11047.461799255461, 11046.949551144575, 11042.004298517808, 11037.14551116154, 11035.554860199241, 11033.263036469423, 11019.045586450742, 11018.259924365642, 11014.544601364989, 11008.769409703324, 10995.427165305195, 10992.143417762087, 10989.289083730291, 10978.075155450195, 10966.00888067926, 10944.252412573953, 10929.89267099529, 10920.720113071224, 10909.012287402827, 10863.561534710048, 10812.644265681725, 10845.655579275302, 10849.426631827046, 10880.291511898873, 10902.115584958277];10812.644265681725
[11217.374655170752, 11214.955929028572, 11214.210662994474, 11210.516789708588, 11210.301818992117, 11209.558907916837, 11203.0761192793, 11200.574042697812, 11165.016347100056, 11139.393347324689, 11130.045509981312, 11130.045509981312, 11130.045509981312, 11128.338874938421, 11126.266086480722, 11116.024184825128, 11069.58951654514, 11060.241679201765, 11056.115891746356, 11054.186033955466, 11047.461799255461, 11046.949551144575, 11042.004298517808, 11037.14551116154, 11035.554860199241, 11033.263036469423, 11019.045586450742, 11018.259924365642, 11014.544601364989, 11008.769409703324, 10995.427165305195, 10992.143417762087, 10989.289083730291, 10978.075155450195, 10966.00888067926, 10944.252412573953, 10929.89267099529, 10920.720113071224, 10909.012287402827, 10902.115584958277, 10880.291511898873, 10863.561534710048, 10849.426631827046, 10845.655579275302, 10812.644265681725, 10814.245807035857, 10827.319782426002, 10830.980062531029, 10848.763396718034, 10881.016638641315];10812.644265681725
